Jugador,Seleccion,Posicion,Minutos,IVO_P90,Pases_P90,Conducciones_P90,Regates_P90,Tiros_P90,Presion_Pct
Issam Jebali,Tunisia,DC,231,0.15,14.4,16.4,1.6,1.2,47.7
Ivan Ilić,Serbia,MCD,96,0.09,18.8,13.1,0.0,0.0,11.8
Ivan Perišić,Croatia,EI,650,0.64,42.1,31.4,2.4,2.2,25.0
Iñaki Williams Arthuer,Ghana,DC,249,0.19,15.9,14.5,1.4,0.7,42.2
Jack Grealish,England,EI,371,0.19,13.6,14.8,0.5,0.2,29.2
Jackson Gabriel Porozo Vernaza,Ecuador,DFC,190,0.08,19.9,13.7,0.0,0.5,1.4
Jackson Irvine,Australia,MCD,353,0.22,32.9,19.6,0.5,0.8,22.3
Jae-Sung Lee,South Korea,MCO,199,0.25,43.4,33.9,0.9,0.5,19.5
Jakub Kamiński,Poland,MC,353,0.21,15.0,14.0,1.5,1.0,40.3
Jakub Piotr Kiwior,Poland,DFC,363,0.27,49.8,34.7,0.0,0.2,3.8
Jamal Musiala,Germany,EI,264,1.05,39.9,54.5,11.2,3.8,47.0
Jamie MacLaren,Australia,DC,283,0.02,5.1,1.9,0.0,0.0,31.8
Jan Bednarek,Poland,DFC,94,0.05,5.7,4.8,0.0,0.0,0.0
Jan Vertonghen,Belgium,DFC,280,0.26,84.9,68.8,0.0,0.6,6.2
Jason Cummings,Australia,DC,96,0.03,5.6,3.8,0.0,0.0,0.0
Jawad El Yamiq,Morocco,DFC,498,0.11,28.9,22.2,0.0,0.2,10.9
Jean-Charles Castelletto,Cameroon,DFC,188,0.26,37.3,30.2,0.5,0.5,23.1
Jean-Eric Maxim Choupo-Moting,Cameroon,DC,246,0.32,25.2,18.7,2.2,1.1,56.6
Jeremy Doku,Belgium,EI,91,0.39,13.8,17.8,3.0,0.0,34.3
Jeremy Leonel Sarmiento Morante,Ecuador,MC,280,0.2,10.6,9.3,1.0,0.3,40.9
